ACCNR,YEAR,SPECIES,LOC,LAT,LONG,NHOM,ALDR,TOTL,TOTV,FPRC,CB28,CB52,CB101,CB118,CB153,CB138,CB180
P84/03612,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,3,16.6,52.8,0.8,0.007,NA,0.027,NA,0.179,0.127,0.061
P84/03613,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,16,50.8,0.69,0.007,NA,0.084,NA,0.223,0.16,0.054
P84/03614,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,6,17.6,71.3,0.78,0.005,NA,0.022,NA,0.098,0.065,0.023
P84/03615,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,15.8,45.2,0.78,0.007,NA,0.037,NA,0.148,0.094,0.021
P84/03616,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,15.7,51.9,0.63,0.007,NA,0.024,NA,0.132,0.085,0.036
P84/03617,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,3,16.5,53.4,0.75,0.008,NA,0.049,NA,0.152,0.109,0.022
P84/03618,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,18.6,86.1,0.66,0.004,NA,0.013,NA,0.068,0.046,0.014
P84/03619,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,18.3,79.5,0.66,0.007,NA,0.038,NA,0.194,0.129,0.046
P84/03620,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,16.4,49.4,0.71,0.006,NA,0.046,NA,0.226,0.163,0.053
P84/03621,1984,Perch,Kvädöfjärden,58.03364178492107,16.764968754785837,NA,4,16.2,49.1,0.72,0.005,NA,0.031,NA,0.122,0.085,0.018
P87/03857,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.1,36.7,4.34,0.0039,0.012,0.0417,0.0475,0.0751,0.0772,0.0311
P87/03858,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,17.8,42.4,7.2,0.004,0.0124,0.0435,0.0546,0.0742,0.0764,0.0292
P87/03860,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.5,39.2,4.18,0.0124,0.0433,0.15310000000000001,0.1971,0.2632,0.2624,0.1017
P87/03861,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.7,36.9,2.35,0.0119,0.0426,0.1651,0.1821,0.3187,0.314,0.1106
P87/03862,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,3,16.9,29,3.66,0.0077,0.0213,0.0675,0.0809,0.1418,0.1393,0.0484
P87/03843,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.4,41.6,5.34,0.0101,0.0348,0.1395,0.1569,0.1983,0.2097,0.0717
P87/03846,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,18.9,43.8,3.76,0.0122,0.0391,0.1383,0.1644,0.2186,0.2316,0.0875
P87/04238,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19.5,53,1.96,0.0036,0.0158,0.0837,0.1031,0.2587,0.227,0.0791
P87/04239,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,18.6,42,4.9,0.0169,0.0429,0.1045,0.1145,0.1598,0.1614,0.0437
P87/04240,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,18.9,43.7,4.27,0.022,0.0745,0.1995,0.248,0.3623,0.3834,0.1244
P87/03101,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.7,51,3.4,0.0209,0.06,0.1194,0.1697,0.2182,0.1903,0.0529
P87/03102,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.6,46,1.41,0.0312,0.105,0.2298,0.2787,0.4241,0.3787,0.1156
P87/03104,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.3,47,2.88,0.0285,0.0882,0.1865,0.2542,0.3427,0.3017,0.0868
P87/03106,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.2,48,5.82,0.0277,0.078,0.2223,0.2966,0.4153,0.4851,0.1182
P87/03109,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.7,68,1.98,0.0268,0.0707,0.2091,0.2288,0.4374,0.3778,0.101
P87/03110,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.3,61,4.73,0.0268,0.0776,0.1634,0.2423,0.3027,0.2636,0.0734
P87/03116,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.1,65,4.04,0.028,0.0782,0.1879,0.2601,0.3663,0.3196,0.0896
P87/03118,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.6,68,2.92,0.0281,0.0935,0.2086,0.3147,0.4065,0.3336,0.1055
P87/03122,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.4,61,3.84,0.0331,0.0779,0.1596,0.2365,0.2773,0.2411,0.0667
P87/03123,1987,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.4,65,3.46,0.0315,0.0786,0.1803,0.2517,0.3462,0.2928,0.0766
P87/04242,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19,51.1,1.66,0.0151,0.0355,0.0976,0.1151,0.1843,0.1849,0.0512
P87/04244,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19.6,49.2,6.56,0.0148,0.034,0.0617,0.0811,0.0777,0.0902,0.0218
P87/04247,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,18.2,41,5.76,0.0137,0.0368,0.0747,0.0894,0.1108,0.1134,0.03
P87/04249,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,19.8,48.5,4.44,0.0232,0.0651,0.2119,0.2108,0.3851,0.3743,0.1047
P87/04250,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,19.6,50.9,1.58,0.0051,0.0184,0.1051,0.1266,0.3,0.2627,0.0829
P87/04251,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,18.3,42.8,6.1,0.0133,0.0343,0.0715,0.0834,0.0915,0.1041,0.0261
P87/04254,1987,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,16.8,40.6,7.49,0.0115,0.0294,0.0541,0.0658,0.0737,0.0789,0.0224
P87/03289,1987,Cod,Fladen,57.19977802985599,11.813581143243677,NA,3,30.3,296,9.97,NA,NA,NA,NA,NA,0.636,NA
P87/03296,1987,Cod,Fladen,57.19977802985599,11.813581143243677,NA,3,30.9,255,15.87,NA,NA,NA,NA,NA,0.602,NA
P87/03300,1987,Cod,Fladen,57.19977802985599,11.813581143243677,NA,2,29.8,302,29.81,NA,NA,NA,NA,NA,0.225,NA
P87/03304,1987,Cod,Fladen,57.19977802985599,11.813581143243677,NA,3,31.6,339,10.15,NA,NA,NA,NA,NA,0.821,NA
P87/03306,1987,Cod,Fladen,57.19977802985599,11.813581143243677,NA,3,31,297,9.23,NA,NA,NA,NA,NA,0.36,NA
P87/03850,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,4,18.4,38.3,4.23,0.0019,0.0076,0.0414,0.0426,0.0941,0.0934,0.039
P87/03143,1987,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,4,35.1,372,42.73,NA,NA,NA,NA,NA,0.532,NA
P87/03146,1987,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,4,33.7,410,57.35,NA,NA,NA,NA,NA,0.263,NA
P87/03151,1987,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,4,34.5,389,62.34,NA,NA,NA,NA,NA,0.217,NA
P87/03154,1987,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,3,30.6,312,19.46,NA,NA,NA,NA,NA,1.004,NA
P87/03158,1987,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,4,33.6,380,66.95,NA,NA,NA,NA,NA,0.111,NA
P87/03854,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,17.9,36.6,4.53,0.0033,0.0082,0.0285,0.032,0.0565,0.0541,0.0234
P87/03855,1987,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,5,17.7,33.8,3.22,0.0115,0.0435,0.1649,0.1776,0.2742,0.2829,0.1084
P88/05918,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,19.3,47,6.37,0.0249,0.0337,0.0811,0.0768,0.1023,0.1092,0.0202
P88/05919,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,20.5,60,4.87,0.0309,0.0525,0.122,0.1012,0.1643,0.1654,0.0423
P88/05920,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,20.4,65,8.36,0,0.0466,0.1091,0.0979,0.1314,0.1347,0.0332
P88/05921,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.5,81,9.15,0,0.0391,0.0896,0.0764,0.1123,0.1057,0.0228
P88/05922,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.4,60,6.83,0,0.0566,0.1412,0.1204,0.1933,0.1884,0.0446
P88/05923,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,22.1,79,9.58,0,0.0441,0.0923,0.0758,0.0999,0.0968,0.0196
P88/05924,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,21,61,10.76,0,0.0282,0.0741,0.0609,0.115,0.1128,0.022
P88/05925,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,21.8,78,8.44,0.0345,0.0427,0.1055,0.0853,0.123,0.1306,0.0247
P88/05926,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,21.8,76,10.13,0,0.0448,0.0806,0.0703,0.083,0.09,0.0178
P88/05927,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,21.2,67,14.47,0.0287,0.0376,0.0851,0.0713,0.1144,0.1041,0.0271
P88/05928,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,20.3,59,7.36,0,0.0338,0.0763,0.0716,0.1041,0.1047,0.021
P88/05929,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,19.4,52,5.31,0,0.0291,0.0705,0.0629,0.1105,0.1124,0.0166
P88/05930,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,20.2,61,10.6,0,0.0311,0.0702,0.065,0.0751,0.0759,0.0131
P88/05931,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,19.1,46,4.63,0,0.0417,0.0981,0.0826,0.115,0.1277,0.0253
P88/05932,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,18.9,52,7.02,0,0.0245,0.0911,0.0555,0.0883,0.0882,0.0179
P88/04598,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,20.9,70.5,7.98,0,0.0135,0.0274,0.0213,0.0355,0.0368,0.008
P88/04599,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,20,56,5.09,0,0.0208,0.0568,0.047,0.0779,0.0808,0.0438
P88/04600,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,21.2,76.5,7.71,0.0134,0.0191,0.0515,0.0501,0.0761,0.0749,0.0234
P88/04601,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,21.1,71.1,8.29,0,0.0151,0.0421,0.0391,0.0583,0.06,0.016
P88/04602,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,19.8,61.5,7.45,0.0103,0.0116,0.0257,0.0233,0.0421,0.0455,0.0095
P88/04603,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,19.1,55.1,9.84,0.0072,0.012,0.0331,0.0301,0.0513,0.0503,0.0132
P88/04604,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,19.7,69.3,7.34,0,0.0141,0.0312,0.0292,0.0512,0.0515,0.013
P88/04605,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,20.1,65,7.13,0,0.0145,0.0375,0.0338,0.053900000000000003,0.0564,0.0138
P88/04606,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,19.6,57.2,6.53,0,0.0129,0.0296,0.0238,0.0431,0.0432,0.0096
P88/04607,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,22.4,80.8,4.77,0.0194,0.0222,0.0477,0.0376,0.055,0.0616,0.0132
P88/04608,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,22.3,82,9.68,0.0167,0.0187,0.0421,0.0353,0.0522,0.0556,0.012
P88/04609,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,19.6,56.7,8.45,0.0124,0.0142,0.0305,0.0273,0.0403,0.0417,0.0198
P88/04610,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,21.4,79.2,7.25,0,0.0136,0.0357,0.0328,0.0625,0.0607,0.0167
P88/04611,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,21.6,70.3,4.01,0.0192,0.0316,0.1105,0.1092,0.1618,0.1526,0.0434
P88/04612,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,20.2,69.3,11.84,0,0.0127,0.0328,0.0252,0.0394,0.0373,0.0099
P88/04613,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,20.3,53.8,3.59,0.033,0.051,0.1592,0.1529,0.248,0.2272,0.0506
P88/04614,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,18.6,57,7.65,0.0126,0.017,0.0398,0.0343,0.0542,0.0517,0.0108
P88/04615,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,20.3,86.7,10.3,0,0.0166,0.0408,0.0382,0.0575,0.0578,0.0134
P88/04616,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,22.3,81.9,9.4,0,0.0118,0.025,0.0215,0.0375,0.0385,0.0089
P88/04617,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,4,20,62.3,12.38,0,0.0106,0.0222,0.0195,0.0322,0.0328,0.0072
P88/04618,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,20,54.6,7.29,0,0.0172,0.0574,0.0564,0.098,0.0937,0.0235
P88/04619,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,20,55,4.47,0,0.0173,0.0443,0.0365,0.0668,0.0653,0.0139
P88/04620,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,23,88.5,8.1,0,0.0161,0.0418,0.0392,0.0583,0.0581,0.0144
P88/04621,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,19.6,46.9,3.55,0,0.0245,0.0601,0.0545,0.0984,0.1542,0.0215
P88/04622,1988,Herring,Fladen,57.19977802985599,11.813581143243677,NA,3,21,54.5,7.07,0.0157,0.0248,0.0531,0.0528,0.0734,0.0777,0.0166
C88/08047,1988,Blue mussel,Nidingen,57.38221877982889,11.89858851125765,60,-9,NA,NA,1.51,0,0.0208,0.0268,0.0287,0.0977,0.0741,0.0088
P88/05401,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,3,18,38.5,5.7,0,0.0159,0.0344,0.0353,0.0501,0.0549,0.0179
P88/05017,1988,Cod,Fladen,57.19977802985599,11.813581143243677,NA,2,28.4,248,28.05,NA,NA,NA,NA,NA,0.36,NA
P88/05018,1988,Cod,Fladen,57.19977802985599,11.813581143243677,NA,2,25,156,29.03,NA,NA,NA,NA,NA,0.175,NA
P88/05019,1988,Cod,Fladen,57.19977802985599,11.813581143243677,NA,2,26.4,206,31.02,NA,NA,NA,NA,NA,0.452,NA
P88/05020,1988,Cod,Fladen,57.19977802985599,11.813581143243677,NA,2,28.7,232,17.99,NA,NA,NA,NA,NA,0.746,NA
P88/05023,1988,Cod,Fladen,57.19977802985599,11.813581143243677,NA,2,25,145,11.37,NA,NA,NA,NA,NA,0.917,NA
P88/04136,1988,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,3,34,427,64.08,NA,NA,NA,NA,NA,0.098,NA
P88/04137,1988,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,3,34,401,69.13,NA,NA,NA,NA,NA,0.076,NA
P88/04138,1988,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,4,39.2,515,64.62,NA,NA,NA,NA,NA,0.249,NA
P88/04141,1988,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,4,34,367,49.37,NA,NA,NA,NA,NA,0.418,NA
P88/04145,1988,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,3,31.6,308,70.51,NA,NA,NA,NA,NA,0.152,NA
P88/04147,1988,Cod,SE Gotland,56.75024348456655,18.49609066850709,NA,3,28,229,41.04,NA,NA,NA,NA,NA,0.346,NA
P88/05402,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.5,36.8,8.88,0,0.0178,0.0484,0.0484,0.0678,0.0768,0.0222
P88/05403,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19.4,55.5,8.97,0.0212,0.0195,0.0441,0.0448,0.0552,0.0607,0.0197
P88/05404,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.9,40.2,5.63,0,0.0262,0.0519,0.0518,0.0689,0.0741,0.0244
P88/05405,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,20.2,57.2,7.38,0.0371,0.0503,0.0933,0.0933,0.1153,0.1243,0.041
P88/05406,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19,41.4,4.96,0,0.0309,0.0609,0.0618,0.0829,0.0913,0.0318
P88/05407,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,6,20.8,67.2,11.14,0.0257,0.0364,0.0824,0.0744,0.0895,0.0971,0.0269
P88/05408,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,6,19.2,51.3,7.5,0.0317,0.0416,0.0887,0.0892,0.1076,0.1191,0.036
P88/05410,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.4,36.8,6.33,0,0.0185,0.0363,0.0375,0.0519,0.0578,0.0194
P88/05411,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.7,39.6,6.67,0,0.023,0.0481,0.053,0.0698,0.0804,0.0254
P88/05412,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,19.4,49.1,3.37,0.0377,0.0485,0.0967,0.0957,0.1167,0.1306,0.0423
P88/05413,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18,37.3,8.07,0,0.0191,0.0366,0.0388,0.0518,0.0588,0.0181
P88/05414,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,18.1,40.7,7.19,0,0.0257,0.0602,0.0565,0.0799,0.0857,0.0276
P88/05415,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,17.8,40.4,5.23,0.0252,0.0333,0.0899,0.1002,0.1344,0.1456,0.0429
P88/05416,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,18.6,43.2,6.48,0.0282,0.0363,0.074,0.0784,0.0942,0.1062,0.033
P88/05417,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,19.9,42.4,4.44,0.0389,0.0566,0.1394,0.1593,0.196,0.2273,0.0655
P88/05418,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18.8,43.7,8.35,0,0.0237,0.0422,0.043,0.0552,0.0608,0.0185
P88/05419,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,17.3,41.1,6.68,0,0.0296,0.0634,0.064,0.0842,0.0914,0.0283
P88/05420,1988,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.3,36.9,7.37,0,0.0263,0.05,0.0477,0.0676,0.0751,0.0235
P88/05913,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,21.2,78,10.45,0,0.0384,0.0797,0.0691,0.092,0.0908,0.0185
P88/05914,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,23.7,70,6.54,0.0451,0.0582,0.1582,0.1371,0.257,0.2288,0.0555
P88/05915,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,20.8,69,8.47,0.0308,0.0356,0.0684,0.0578,0.0819,0.0791,0.0158
P88/05916,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,20,57,6.49,0,0.0293,0.0678,0.0578,0.0895,0.0935,0.0168
P88/05917,1988,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,22.6,84,6.48,0.0149,0.0479,0.1071,0.0847,0.1296,0.1231,0.0268
P89/04500,1989,Herring,Fladen,57.19977802985599,11.813581143243677,NA,2,18.2,37.9,2.93,0,0,0.037,0.0604,0.0622,0.0721,0
P89/04501,1989,Herring,Fladen,57.19977802985599,11.813581143243677,NA,2,17.7,35.7,2.69,0,0,0.05,0.0835,0.0844,0.0664,0
P89/04502,1989,Herring,Fladen,57.19977802985599,11.813581143243677,NA,2,18.5,44.2,4.56,0,0,0.0284,0.0611,0.0457,0.0412,0
P89/04503,1989,Herring,Fladen,57.19977802985599,11.813581143243677,NA,2,18.2,38.4,2.67,0,0,0.048,0.0732,0.0786,0.0741,0
P89/04505,1989,Herring,Fladen,57.19977802985599,11.813581143243677,NA,2,18.5,39.1,2.75,0,0,0.0506,0.0897,0.0873,0.0962,0
P89/04506,1989,Herring,Fladen,57.19977802985599,11.813581143243677,NA,2,17.8,34.8,3.06,0,0,0.0815,0.1139,0.1515,0.1319,0
P89/04507,1989,Herring,Fladen,57.19977802985599,11.813581143243677,NA,2,18.8,41.4,3.72,0,0,0.0404,0.058,0.0584,0.0585,0.0298
P89/04693,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,12.7,14.2,2.58,0,0,0.0156,0.0204,0.0365,0.0362,0.015
P89/04694,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,14.8,19.6,2.12,0,0,0.0228,0.0285,0.0435,0.0436,0.0186
P89/04695,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,14.3,17.5,2.91,0,0,0.021,0.0227,0.0409,0.0423,0.0192
P89/04943,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,2,17.6,39.6,4.5,0,0,0.0506,0.0813,0.0676,0.0752,0
P89/04944,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,19.2,46.3,2.31,0,0,0.1121,0.1543,0.1725,0.1839,0
P89/04945,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,20.9,60.2,5.23,0,0.0257,0.0692,0.1063,0.0997,0.103,0.0416
P89/04946,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,6,20.4,52.2,3.41,0,0.0478,0.1541,0.2102,0.2079,0.2139,0.0763
P89/04947,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,2,18.7,49.5,3.56,0,0,0.0652,0.0982,0.0933,0.0999,0
P89/04948,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,2,18.7,45.5,4.79,0,0.0193,0.0562,0.0843,0.0723,0.084,0.0302
P89/04949,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,20,56.3,4.88,0,0.0259,0.0752,0.1131,0.1366,0.1317,0.0434
P89/04950,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,20.6,60.3,3.6,0,0,0.0657,0.098,0.0846,0.0981,0
P89/04951,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,20,57,3.8,0,0.0246,0.0852,0.1208,0.1169,0.1283,0.0313
P89/04952,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,19.6,58.5,5.03,0,0.0188,0.0635,0.0876,0.0815,0.0872,0
P89/04953,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,20.5,50.5,2.13,0,0.0568,0.1495,0.1851,0.2183,0.2256,0.0796
P89/04954,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,7,20.1,53.2,2.35,0,0,0.1242,0.1821,0.1711,0.1974,0.0481
P89/04955,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,19.8,50.8,3.2,0,0.0486,0.1118,0.1556,0.1537,0.1654,0.0506
P89/04956,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,19.3,55,2.45,0,0,0.0881,0.1332,0.116,0.1359,0
P89/04957,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,20.8,60.3,2.97,0,0.0442,0.0949,0.1296,0.1215,0.1367,0
P89/04958,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,19.3,52.2,2.79,0,0,0.0866,0.1225,0.1481,0.1571,0
P89/04959,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,5,19.1,45.5,1.97,0,0,0.1478,0.1977,0.1883,0.2144,0.074
P89/04960,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,2,18.1,47.5,2.63,0,0,0.0689,0.1083,0.1027,0.1114,0
P89/04961,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,3,19.1,46.3,2.14,0,0,0.1086,0.1629,0.1573,0.1825,0
P89/04962,1989,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,6,19.1,47.5,3.72,0,0.0278,0.0854,0.1246,0.1251,0.1385,0.0336
P89/04696,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,14.5,18.4,3.1,0,0,0.0263,0.0281,0.0467,0.0482,0.02
P89/04697,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,15,20.1,2.54,0,0,0.0267,0.0317,0.0579,0.0601,0.0308
P89/04698,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,14,16,1.96,0,0,0.0212,0.0227,0.0406,0.0387,0.0168
P89/04699,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,12.5,14.3,3.43,0,0,0.0142,0.0161,0.0292,0.0287,0.0122
P89/04700,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,14.2,18,3.14,0,0,0.0135,0.0155,0.0268,0.0268,0.0119
P89/04701,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,13.5,18.1,3.57,0,0,0.0221,0.0224,0.0391,0.0396,0.0157
P89/04702,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,14,17.2,3.16,0,0,0.0188,0.0213,0.037,0.0338,0.0149
P89/04683,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,15,20.1,3.7,0,0,0.0211,0.025,0.0403,0.0441,0.0203
P89/04684,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,14.5,19.1,2.66,0,0,0.032,0.0397,0.0629,0.0686,0.0281
P89/04685,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,15.1,24.6,2.37,0,0,0.0261,0.032,0.0471,0.0503,0.0229
P89/04686,1989,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,2,13.8,16.7,2.63,0,0,0.0221,0.0271,0.0424,0.047,0.0203
P89/03916,1989,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19,44.6,4.77,0.0202,0.0252,0.0615,0.0862,0.0866,0.0928,0.026
P89/03917,1989,Herring,Landsort,58.693635257492296,18.00425495822601,NA,3,18.1,41.3,4.3,0.0154,0.0199,0.0465,0.0631,0.0699,0.0687,0.0231
P89/03918,1989,Herring,Landsort,58.693635257492296,18.00425495822601,NA,2,18.6,44.9,4.15,0.0168,0.019,0.0456,0.0576,0.0625,0.0633,0.0159
P89/03919,1989,Herring,Landsort,58.693635257492296,18.00425495822601,NA,3,18,37.2,5.04,0.0151,0.0187,0.0457,0.0603,0.0657,0.0662,0.0191
