ACCNR,YEAR,SPECIES,LOC,LAT,LONG,NHOM,ALDR,TOTL,TOTV,FPRC,CB28,CB52,CB101,CB118,CB153,CB138,CB180
C91/08007,1991,Blue mussel,Nidingen,57.38221877982889,11.89858851125765,40,-9,NA,NA,0.81,0,0,0.0196,0.0314,0.077,0.0801,0.0094
P91/05378,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,3,17,30,1.39,0.0101,0.0331,0.1115,0.1252,0.2964,0.2755,0.1324
P91/05379,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,3,15,26,5.36,0.0067,0.0174,0.0504,0.0584,0.114,0.1155,0.0535
P91/05380,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,3,18.2,33,2.15,0.0088,0.0349,0.1405,0.1828,0.4572,0.3986,0.1707
P91/05381,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,3,16.4,29,4.06,0.0096,0.0337,0.0869,0.1015,0.1749,0.1746,0.0635
P91/05382,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,3,20.3,63,3.43,0.0099,0.0318,0.0953,0.1029,0.2149,0.2085,0.0883
P91/05383,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,3,18.2,39,3.89,0.0087,0.0247,0.0676,0.091,0.1704,0.1596,0.0614
P91/05384,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,3,16.7,28,1.47,0.0129,0.0415,0.1422,0.1605,0.3238,0.3163,0.1347
P91/05385,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,19.2,49,5.21,0.0167,0.063,0.1718,0.1933,0.3409,0.3374,0.1576
P91/05386,1991,Herring,Ängskärsklubb (spring),60.53260784362712,18.162427330927617,NA,4,19.1,43,4,0.016,0.051,0.1215,0.147,0.2365,0.2355,0.0878
